timestamp,gala_gopher_cpu_total_used_per,gala_gopher_block_read_bytes,gala_gopher_block_write_bytes,gala_gopher_cpu_iowait_msec,gala_gopher_cpu_irq_msec,gala_gopher_cpu_net_rx,gala_gopher_cpu_rcu,gala_gopher_cpu_sched,gala_gopher_cpu_softirq_msec,gala_gopher_cpu_system_msec,gala_gopher_cpu_timer,gala_gopher_cpu_user_msec,gala_gopher_fs_Free,gala_gopher_fs_IFree,gala_gopher_fs_IUsed,gala_gopher_fs_UsePer,gala_gopher_fs_Used,gala_gopher_mem_active_kB,gala_gopher_mem_available_kB,gala_gopher_mem_buffers_kB,gala_gopher_mem_cache_kB,gala_gopher_mem_free_kB,gala_gopher_mem_inactive_kB,gala_gopher_mem_swap_free_kB,gala_gopher_mem_swap_util,gala_gopher_mem_util,gala_gopher_net_tcp_curr_estab,gala_gopher_net_tcp_in_segs,gala_gopher_net_tcp_out_segs,gala_gopher_net_tcp_retrans_segs,gala_gopher_net_udp_indata_grams,gala_gopher_net_udp_outdata_grams,gala_gopher_nic_rx_bytes,gala_gopher_nic_rx_packets,gala_gopher_nic_rxspeed_KB,gala_gopher_nic_tx_bytes,gala_gopher_nic_tx_packets,gala_gopher_nic_txspeed_KB
1682505000,33.07,0,147456,0,20,37,661,260,0,150,204,480,2864312,818476,724,10,284620,8793100,1985172,20104,1598456,1487132,5122064,13432,99.84,80.27,49,503,505,0,0,0,5569,34,1.09,0,0,0
1682505300,33.16,0,208896,0,10,220,699,283,10,210,257,410,2864312,818476,724,10,284620,8801320,1987444,21596,1737940,1348016,5250848,13920,99.83,80.26,47,518,520,0,0,0,1030,6,0.2,0,0,0
1682505600,33.89,159756288,226455552,0,30,40,649,380,0,170,331,260,2864312,818476,724,10,284620,8811852,1989152,23172,2092080,989568,5589140,51212,99.37,80.28,47,562,564,0,0,0,2397,10,0.47,0,0,0
1682505900,39.48,8192,618496,0,20,1,1243,44,0,0,89,5440,2864312,818476,724,10,284620,8829740,1978028,24928,2231252,837800,5721084,59476,99.27,80.35,48,4205,4210,0,2,2,11428,39,2.23,3695,20,0.72
1682506200,34.53,0,12288,0,30,2,1001,143,10,160,75,5070,2864312,818476,724,10,284620,8831480,1979420,26296,2356192,710712,5842560,59700,99.27,80.35,47,484,486,0,0,0,1191,8,0.23,0,0,0
1682506500,32.17,151552,217088,0,10,115,549,254,0,50,74,690,2856120,818476,724,10,292812,8833336,1956540,27640,2493820,556756,5993492,59912,99.27,80.45,47,417,419,0,0,0,798,9,0.16,0,0,0
1682506800,32.45,0,23969792,0,30,141,628,362,10,80,180,300,2856120,818476,724,10,292812,8835184,1947864,29104,2620344,420912,6123940,60164,99.26,80.5,49,507,509,0,0,0,3673,14,0.72,0,0,0
1682507100,33.08,0,299008,0,20,48,740,400,0,220,243,300,2856120,818476,724,10,292812,8837404,1932876,30964,2757896,240868,6297252,60444,99.26,80.76,49,482,484,0,0,0,3922,36,0.77,0,0,0
1682507400,34.88,0,90112,0,20,303,840,401,0,220,188,310,2856120,818476,724,10,292812,8639076,1945428,31508,2786900,205020,6529024,36200,99.56,80.8,49,540,542,0,0,0,1210,9,0.24,0,0,0
1682507700,34.79,0,294912,0,30,1,674,44,0,0,90,5420,2856120,818476,724,10,292812,8344780,1965852,32744,2786064,201192,6827488,2312,99.97,80.82,49,498,500,0,0,0,3027,19,0.59,0,0,0
